Variable,Importancia
Feature_7,0.2906594858032991
Feature_8,0.20166266623569118
Feature_10,0.20076681098393012
Feature_9,0.10415813053312321
Feature_11,0.07480935141674357
Feature_2,0.02842537212665727
Feature_18,0.01985232932761876
Feature_0,0.015389330418393878
Feature_1,0.011745272360351255
Feature_29,0.005775397341731438
Feature_25,0.005473604196143706
Feature_16,0.004914814550258383
Feature_26,0.00485621620434854
Feature_19,0.004828682462934562
Feature_24,0.004079571728030473
Feature_4,0.0038577955136584996
Feature_13,0.0020914400185945365
Feature_6,0.0019799924189913
Feature_5,0.0018065569010732806
Feature_31,0.0016578338458812208
Feature_20,0.0013757131966829306
Feature_3,0.0012011634201477012
Feature_14,0.0010919663303957784
Feature_30,0.0009245706977466382
Feature_36,0.0008349892414240144
Feature_39,0.0007689901034755882
Feature_15,0.0005553373540092014
Feature_35,0.0005371294079695298
Feature_34,0.000523369296984989
Feature_38,0.0005200294634759772
Feature_27,0.0004891391371897782
Feature_32,0.0004553134956147709
Feature_23,0.0004255556304733792
Feature_33,0.00040273680118398184
Feature_37,0.00037148559115791777
Feature_28,0.0002862319108899512
Feature_22,0.00016491438580333725
Feature_17,0.00014315083082869413
Feature_21,0.000137559317091551
Feature_12,0.0
Feature_40,0.0
